,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,m2_living,m2_lot,m2_basement,m2_above,day,week_of_year,month,year,median_price,status
5913,7282300095,2014-07-09,295000.0,2,1.0,800,6500,1.0,0,0,4,6,800,0,1953,0,98133,47.7621,-122.358,1220,7000,74.322432,603.86976,0.0,74.322432,9,28,7,2014,373000.0,buy
5917,5666300010,2014-07-22,302000.0,3,1.0,1110,7000,1.5,0,0,4,7,1110,0,1955,0,98133,47.754,-122.341,1800,7000,103.12237440000001,650.32128,0.0,103.12237440000001,22,30,7,2014,373000.0,buy
5919,6145600285,2014-05-29,300000.0,2,1.0,820,3844,1.0,0,0,4,6,820,0,1916,0,98133,47.7049,-122.349,1520,3844,76.18049280000001,357.11928576,0.0,76.18049280000001,29,22,5,2014,373000.0,buy
5921,6190701483,2014-05-14,364000.0,4,1.75,2010,8625,1.0,0,0,4,7,1340,670,1957,0,98133,47.7496,-122.355,1500,8400,186.73511040000002,801.28872,62.2450368,124.4900736,14,20,5,2014,373000.0,buy
5922,414100630,2014-07-29,335000.0,3,1.0,1380,7470,1.0,0,0,5,7,1380,0,1965,0,98133,47.7479,-122.343,1440,7473,128.2061952,693.9857088,0.0,128.2061952,29,31,7,2014,373000.0,buy
5941,6150700169,2014-06-09,304700.0,2,1.0,740,5995,1.0,0,0,4,7,740,0,1949,0,98133,47.7291,-122.337,1140,5995,68.74824960000001,556.9537248,0.0,68.74824960000001,9,24,6,2014,373000.0,buy
5947,2231800020,2014-11-20,366000.0,4,2.75,2020,8093,1.0,0,0,5,7,1300,720,1961,0,98133,47.7685,-122.332,1920,8089,187.6641408,751.8643027200001,66.8901888,120.77395200000001,20,47,11,2014,373000.0,buy
5948,626049091,2014-06-27,275500.0,2,1.0,720,11400,1.0,0,0,5,6,720,0,1951,0,98133,47.7641,-122.341,1690,8075,66.8901888,1059.094656,0.0,66.8901888,27,26,6,2014,373000.0,buy
5958,748000145,2014-12-11,335000.0,2,1.0,1070,6678,1.0,0,0,4,7,1070,0,1951,0,98133,47.7315,-122.357,1680,7788,99.4062528,620.40650112,0.0,99.4062528,11,50,12,2014,373000.0,buy
5964,7276100145,2014-09-30,344950.0,3,2.0,1470,6950,1.0,0,0,5,6,1470,0,1932,0,98133,47.7619,-122.343,1660,5065,136.5674688,645.6761280000001,0.0,136.5674688,30,40,9,2014,373000.0,buy
5974,6145600410,2014-07-11,290000.0,2,1.0,840,3844,1.0,0,0,4,6,840,0,1919,0,98133,47.7048,-122.347,1040,3844,78.0385536,357.11928576,0.0,78.0385536,11,28,7,2014,373000.0,buy
5980,3368900084,2014-06-23,275000.0,3,1.0,1080,6000,1.0,0,0,4,7,1080,0,1952,0,98133,47.7579,-122.33,1200,7210,100.3352832,557.4182400000001,0.0,100.3352832,23,26,6,2014,373000.0,buy
5992,5562100325,2014-11-25,305000.0,2,1.0,1000,8212,1.0,0,0,4,7,1000,0,1947,0,98133,47.7444,-122.341,1620,8214,92.90304,762.91976448,0.0,92.90304,25,48,11,2014,373000.0,buy
5997,396100110,2014-05-16,282613.0,2,1.0,830,6017,1.0,0,0,4,6,830,0,1954,0,98133,47.7466,-122.334,1340,6040,77.1095232,558.99759168,0.0,77.1095232,16,20,5,2014,373000.0,buy
6001,1926049210,2015-04-22,372500.0,2,1.0,880,10950,1.0,0,0,4,7,880,0,1944,0,98133,47.7332,-122.352,1450,7560,81.75467520000001,1017.2882880000001,0.0,81.75467520000001,22,17,4,2015,373000.0,buy
6005,6150200060,2015-04-01,370037.0,2,1.0,1250,9270,1.0,0,0,4,7,1250,0,1948,0,98133,47.7284,-122.339,1130,6800,116.12880000000001,861.2111808000001,0.0,116.12880000000001,1,14,4,2015,373000.0,buy
6014,1397300055,2014-05-20,268500.0,2,1.0,790,8424,1.0,0,0,4,6,790,0,1953,0,98133,47.7511,-122.352,1470,8424,73.3934016,782.61520896,0.0,73.3934016,20,21,5,2014,373000.0,buy
6015,3293700496,2014-08-14,270000.0,4,1.75,1850,7730,1.0,0,0,5,7,1100,750,1956,0,98133,47.7481,-122.355,2260,8581,171.87062400000002,718.1404992,69.67728000000001,102.19334400000001,14,33,8,2014,373000.0,buy
6034,164000267,2014-10-16,311300.0,2,1.0,1000,7228,1.0,0,0,4,7,1000,0,1947,0,98133,47.7294,-122.352,1100,7228,92.90304,671.50317312,0.0,92.90304,16,42,10,2014,373000.0,buy
6036,162500030,2014-12-05,324000.0,3,1.0,1160,7202,1.0,0,0,4,7,1160,0,1957,0,98133,47.7675,-122.334,1620,8598,107.76752640000001,669.08769408,0.0,107.76752640000001,5,49,12,2014,373000.0,buy
6038,6450304260,2014-07-22,294000.0,2,1.0,850,5250,1.0,0,0,4,7,850,0,1950,0,98133,47.731,-122.342,1440,5250,78.967584,487.74096000000003,0.0,78.967584,22,30,7,2014,373000.0,buy
6041,414100045,2014-09-23,344950.0,4,1.75,2240,7500,1.0,0,0,4,7,1120,1120,1956,0,98133,47.7466,-122.34,1440,7500,208.1028096,696.7728000000001,104.0514048,104.0514048,23,39,9,2014,373000.0,buy
6053,5469000140,2014-07-07,373000.0,4,1.75,1590,7920,2.0,0,0,4,7,1590,0,1960,0,98133,47.7456,-122.336,1720,7998,147.7158336,735.7920768,0.0,147.7158336,7,28,7,2014,373000.0,buy
6055,6145601819,2014-09-12,278750.0,2,2.0,800,5765,1.0,0,0,4,6,800,0,1936,0,98133,47.7024,-122.346,1160,3844,74.322432,535.5860256000001,0.0,74.322432,12,37,9,2014,373000.0,buy
6059,8911000445,2014-11-12,329000.0,2,1.0,940,7700,1.0,0,0,4,6,940,0,1916,0,98133,47.7067,-122.354,1290,7375,87.3288576,715.3534080000001,0.0,87.3288576,12,46,11,2014,373000.0,buy
6064,6300000320,2014-08-21,359950.0,2,1.0,1240,7590,1.0,0,0,4,7,1040,200,1939,0,98133,47.7061,-122.34,1190,5692,115.19976960000001,705.1340736000001,18.580608,96.61916160000001,21,34,8,2014,373000.0,buy
6068,7287700059,2014-08-13,367950.0,3,1.75,2290,8234,1.0,0,0,4,7,1250,1040,1950,0,98133,47.7611,-122.351,1660,7200,212.74796160000002,764.96363136,96.61916160000001,116.12880000000001,13,33,8,2014,373000.0,buy
6071,6150200435,2014-05-13,230000.0,2,0.75,650,5360,1.0,0,0,4,5,650,0,1931,0,98133,47.7281,-122.335,1110,6700,60.386976000000004,497.9602944,0.0,60.386976000000004,13,20,5,2014,373000.0,buy
6081,3705900124,2015-02-20,302000.0,5,1.75,2360,8642,1.5,0,0,5,7,2060,300,1926,0,98133,47.7617,-122.335,1950,8491,219.25117440000002,802.8680716800001,27.870912,191.38026240000002,20,8,2,2015,373000.0,buy
6090,415100085,2015-02-17,350000.0,3,1.0,1050,8583,1.0,0,0,5,6,1050,0,1955,0,98133,47.7451,-122.339,1460,7351,97.548192,797.38679232,0.0,97.548192,17,8,2,2015,373000.0,buy
6105,7771300155,2014-07-16,332500.0,3,1.0,1030,8164,1.0,0,0,4,7,1030,0,1950,0,98133,47.7353,-122.334,1340,8164,95.69013120000001,758.46041856,0.0,95.69013120000001,16,29,7,2014,373000.0,buy
6109,2291401115,2014-11-25,349950.0,1,1.0,1230,9300,1.5,0,0,4,6,1230,0,1918,0,98133,47.7055,-122.348,1190,6820,114.27073920000001,863.998272,0.0,114.27073920000001,25,48,11,2014,373000.0,buy
6110,1397300120,2014-07-29,364500.0,3,1.75,1740,8424,1.0,0,0,5,7,1040,700,1954,0,98133,47.7508,-122.352,1370,8424,161.6512896,782.61520896,65.032128,96.61916160000001,29,31,7,2014,373000.0,buy
6118,6450304130,2014-05-05,329950.0,2,1.0,1140,5250,1.5,0,0,4,6,1140,0,1949,0,98133,47.731,-122.341,1450,5250,105.9094656,487.74096000000003,0.0,105.9094656,5,19,5,2014,373000.0,buy
6128,6300500515,2014-08-18,350000.0,3,1.0,1020,4980,1.0,0,0,4,7,850,170,1941,0,98133,47.7039,-122.34,970,4980,94.76110080000001,462.6571392,15.7935168,78.967584,18,34,8,2014,373000.0,buy
6142,8911000425,2014-09-18,345000.0,2,1.0,1130,8081,1.0,0,0,4,7,1130,0,1921,0,98133,47.7064,-122.355,1220,7800,104.9804352,750.7494662400001,0.0,104.9804352,18,38,9,2014,373000.0,buy
6147,6145601995,2014-09-24,370000.0,3,1.5,1560,6774,1.0,0,0,4,6,1060,500,1927,0,98133,47.7024,-122.35,1320,3844,144.9287424,629.3251929600001,46.45152,98.4772224,24,39,9,2014,373000.0,buy
6150,9310300185,2015-03-25,227000.0,2,1.0,1040,9100,1.0,0,0,4,7,1040,0,1937,0,98133,47.7407,-122.347,1950,13228,96.61916160000001,845.4176640000001,0.0,96.61916160000001,25,13,3,2015,373000.0,buy
6156,6300500275,2014-08-07,350000.0,3,1.0,1390,4820,1.0,0,0,4,7,910,480,1926,0,98133,47.704,-122.343,1320,4820,129.1352256,447.79265280000004,44.593459200000005,84.5417664,7,32,8,2014,373000.0,buy
6157,6671900095,2014-05-27,313000.0,3,1.75,1320,6205,1.0,0,0,5,7,1320,0,1948,0,98133,47.7412,-122.343,1210,6205,122.63201280000001,576.4633632,0.0,122.63201280000001,27,22,5,2014,373000.0,buy
6162,2229900020,2014-06-10,359950.0,3,1.75,1890,9100,2.0,0,0,4,7,1890,0,1952,0,98133,47.7676,-122.339,1640,9100,175.5867456,845.4176640000001,0.0,175.5867456,10,24,6,2014,373000.0,buy
6165,5727500561,2015-04-14,255544.0,3,1.0,1360,6186,1.5,0,0,4,6,760,600,1941,0,98133,47.7503,-122.334,1610,7453,126.3481344,574.69820544,55.741824,70.6063104,14,16,4,2015,373000.0,buy
6170,6145600780,2014-09-11,335000.0,2,1.0,1510,3844,1.0,0,0,4,7,1510,0,1923,1970,98133,47.7038,-122.348,1170,3844,140.2835904,357.11928576,0.0,140.2835904,11,37,9,2014,373000.0,buy
6176,1826049430,2014-05-20,372500.0,4,1.75,1590,10523,2.0,0,0,4,7,1590,0,1922,0,98133,47.7358,-122.342,1610,8568,147.7158336,977.6186899200001,0.0,147.7158336,20,21,5,2014,373000.0,buy
6179,414100280,2015-04-14,336000.0,2,1.0,1180,7200,1.0,0,0,4,6,1180,0,1949,0,98133,47.7475,-122.342,1180,7200,109.62558720000001,668.9018880000001,0.0,109.62558720000001,14,16,4,2015,373000.0,buy
6181,6450301310,2014-10-30,225000.0,2,1.0,830,5720,1.0,0,0,4,6,830,0,1950,0,98133,47.7339,-122.339,1150,5250,77.1095232,531.4053888000001,0.0,77.1095232,30,44,10,2014,373000.0,buy
6197,6885900415,2015-01-07,290000.0,4,2.75,2240,8162,2.0,0,0,5,7,1380,860,1946,0,98133,47.7427,-122.34,1550,8163,208.1028096,758.2746124800001,79.8966144,128.2061952,7,2,1,2015,373000.0,buy
6199,1074100110,2014-05-25,355300.0,3,2.5,1620,7410,1.0,0,0,5,7,1620,0,1955,0,98133,47.7708,-122.335,1450,8121,150.50292480000002,688.4115264000001,0.0,150.50292480000002,25,21,5,2014,373000.0,buy
6202,162500015,2014-10-20,362500.0,5,2.0,2330,8586,1.0,0,0,4,7,1270,1060,1961,0,98133,47.7671,-122.334,1550,8287,216.4640832,797.6655014400001,98.4772224,117.9868608,20,43,10,2014,373000.0,buy
6213,6713700205,2014-07-15,310000.0,3,1.0,1210,9730,1.0,0,0,4,7,1210,0,1953,0,98133,47.762,-122.355,1470,9730,112.4126784,903.9465792000001,0.0,112.4126784,15,29,7,2014,373000.0,buy
6214,6145601745,2015-04-14,220000.0,2,1.0,890,4804,1.0,0,0,4,7,890,0,1928,0,98133,47.7027,-122.346,1010,3844,82.68370560000001,446.30620416000005,0.0,82.68370560000001,14,16,4,2015,373000.0,buy
6215,415100015,2014-07-25,301000.0,3,1.0,1060,9241,1.0,0,0,4,7,1060,0,1956,0,98133,47.7465,-122.339,1900,6484,98.4772224,858.51699264,0.0,98.4772224,25,30,7,2014,373000.0,buy
6216,726049131,2015-03-20,325000.0,3,2.0,1750,9000,1.5,0,0,4,5,1750,0,1936,0,98133,47.7489,-122.35,1830,8100,162.58032,836.1273600000001,0.0,162.58032,20,12,3,2015,373000.0,buy
6222,6713700155,2014-08-18,352500.0,3,1.0,1470,8400,1.0,0,0,4,7,1470,0,1953,0,98133,47.7628,-122.354,1470,8400,136.5674688,780.385536,0.0,136.5674688,18,34,8,2014,373000.0,buy
6228,5745600040,2014-08-14,359000.0,3,1.75,2200,11520,1.0,0,0,4,7,2200,0,1952,0,98133,47.7659,-122.341,1690,8038,204.38668800000002,1070.2430208,0.0,204.38668800000002,14,33,8,2014,373000.0,buy
6230,558100065,2014-10-03,254922.0,2,1.0,780,8160,1.0,0,0,4,6,780,0,1953,0,98133,47.7356,-122.34,1310,8160,72.4643712,758.0888064000001,0.0,72.4643712,3,40,10,2014,373000.0,buy
6267,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,198.8125056,919.4613868800001,0.0,198.8125056,12,37,9,2014,993750.0,buy
6268,3456000310,2014-08-04,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,230.39953920000002,1022.8624704000001,78.967584,151.4319552,4,32,8,2014,993750.0,buy
6270,191100045,2014-07-03,940000.0,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,1968,0,98040,47.5639,-122.217,2770,9525,231.3285696,884.901456,0.0,231.3285696,3,27,7,2014,993750.0,buy
6272,8651600160,2014-11-11,799000.0,4,2.25,2510,11585,2.0,0,0,4,8,2510,0,1969,0,98040,47.5483,-122.226,2450,9691,233.1866304,1076.2817184,0.0,233.1866304,11,46,11,2014,993750.0,buy
6274,2287000030,2014-10-14,811000.0,3,1.75,1870,9897,1.0,0,0,4,8,1870,0,1960,0,98040,47.5505,-122.221,1900,10005,173.72868480000002,919.4613868800001,0.0,173.72868480000002,14,42,10,2014,993750.0,buy
6275,4099500935,2014-07-23,705000.0,3,1.75,2180,10221,1.0,0,2,4,7,1140,1040,1946,0,98040,47.5885,-122.248,2180,8535,202.52862720000002,949.5619718400001,96.61916160000001,105.9094656,23,30,7,2014,993750.0,buy
6280,8566100200,2014-05-08,980000.0,5,2.5,3160,11470,1.0,0,0,4,9,1780,1380,1971,0,98040,47.5368,-122.216,3260,11470,293.5736064,1065.5978688,128.2061952,165.36741120000002,8,19,5,2014,993750.0,buy
6282,3456000160,2014-06-23,800000.0,3,2.25,2380,11824,1.0,0,0,4,9,1450,930,1972,0,98040,47.5371,-122.218,2750,11491,221.1092352,1098.48554496,86.3998272,134.709408,23,26,6,2014,993750.0,buy
6283,5458800125,2014-05-14,925000.0,4,2.5,2190,7350,2.5,0,0,5,8,2190,0,1958,0,98040,47.5786,-122.236,1880,7350,203.4576576,682.837344,0.0,203.4576576,14,20,5,2014,993750.0,buy
6286,4458800060,2015-04-09,957500.0,4,2.25,2360,11523,2.0,0,0,4,10,2360,0,1968,0,98040,47.5318,-122.224,2850,11362,219.25117440000002,1070.52172992,0.0,219.25117440000002,9,15,4,2015,993750.0,buy
6287,5315100737,2014-05-28,900000.0,6,2.75,2300,24773,1.5,0,0,4,9,2300,0,1950,1985,98040,47.5833,-122.242,2720,11740,213.676992,2301.48700992,0.0,213.676992,28,22,5,2014,993750.0,buy
6290,5450900140,2014-05-08,830000.0,5,3.0,3040,9601,1.0,0,0,5,9,1970,1070,1968,0,98040,47.5562,-122.22,3180,12390,282.4252416,891.96208704,99.4062528,183.01898880000002,8,19,5,2014,993750.0,buy
6293,7365600070,2014-06-24,762500.0,4,2.75,2610,8760,1.0,0,0,4,8,1760,850,1978,0,98040,47.5875,-122.229,2550,10376,242.4769344,813.8306304,78.967584,163.50935040000002,24,26,6,2014,993750.0,buy
6295,3626500045,2014-06-26,760000.0,3,2.5,1980,13964,1.0,0,0,5,7,1980,0,1959,0,98040,47.571,-122.227,2040,13964,183.9480192,1297.29805056,0.0,183.9480192,26,26,6,2014,993750.0,buy
6296,5315100806,2014-09-15,940000.0,4,3.0,2720,11740,1.0,0,0,5,9,2720,0,1957,0,98040,47.5833,-122.242,2640,11740,252.6962688,1090.6816896,0.0,252.6962688,15,38,9,2014,993750.0,buy
6304,2162000160,2015-03-03,992000.0,3,2.25,2950,15207,1.0,0,0,4,10,2070,880,1966,0,98040,47.5571,-122.216,2950,22000,274.06396800000005,1412.7765292800002,81.75467520000001,192.3092928,3,10,3,2015,993750.0,buy
6309,5315100394,2015-02-18,604000.0,3,1.0,1440,13824,1.0,0,0,4,7,1440,0,1957,0,98040,47.5872,-122.241,2540,12092,133.7803776,1284.29162496,0.0,133.7803776,18,8,2,2015,993750.0,buy
6311,5021900160,2014-06-18,711000.0,4,1.75,1980,10800,1.0,0,0,5,6,990,990,1948,0,98040,47.5768,-122.222,2180,10800,183.9480192,1003.352832,91.9740096,91.9740096,18,25,6,2014,993750.0,buy
6313,1574100025,2014-08-07,525000.0,4,1.5,1170,6240,1.0,0,0,4,6,1170,0,1960,0,98040,47.5495,-122.232,2380,8846,108.69655680000001,579.7149696,0.0,108.69655680000001,7,32,8,2014,993750.0,buy
6315,7598100735,2014-08-29,769000.0,4,2.75,3630,15405,1.0,0,2,4,8,1850,1780,1968,0,98040,47.566,-122.225,3380,11184,337.2380352,1431.1713312000002,165.36741120000002,171.87062400000002,29,35,8,2014,993750.0,buy
6320,2288000090,2015-04-29,980000.0,4,1.75,2260,17711,1.0,0,1,4,9,2260,0,1968,0,98040,47.5498,-122.214,2880,16594,209.9608704,1645.4057414400002,0.0,209.9608704,29,18,4,2015,993750.0,buy
6322,5456000110,2015-04-16,865000.0,5,3.0,2830,8854,1.0,0,0,4,8,1500,1330,1979,0,98040,47.5743,-122.209,2260,8604,262.9156032,822.5635161600001,123.56104320000001,139.35456000000002,16,16,4,2015,993750.0,buy
6323,191101015,2014-12-11,830000.0,3,1.5,1840,10125,1.0,0,0,4,8,1220,620,1959,0,98040,47.5607,-122.217,2320,10160,170.9415936,940.6432800000001,57.599884800000005,113.3417088,11,50,12,2014,993750.0,buy
6324,5451210100,2015-04-23,938000.0,4,2.5,2410,9886,1.0,0,0,5,8,1990,420,1975,0,98040,47.5351,-122.223,2530,10658,223.89632640000002,918.4394534400001,39.0192768,184.87704960000002,23,17,4,2015,993750.0,buy
6325,5450300195,2015-03-27,830000.0,4,2.75,2090,13500,1.0,0,0,4,8,2090,0,1949,0,98040,47.573,-122.225,2130,13500,194.1673536,1254.1910400000002,0.0,194.1673536,27,13,3,2015,993750.0,buy
6326,5021900265,2014-07-02,659000.0,4,2.0,2090,10800,1.0,0,0,4,7,2090,0,1951,0,98040,47.5759,-122.223,2090,10800,194.1673536,1003.352832,0.0,194.1673536,2,27,7,2014,993750.0,buy
6330,5482700100,2014-05-12,876650.0,3,3.25,2170,12508,1.5,0,0,5,9,1650,520,1928,1970,98040,47.5665,-122.229,2720,21070,201.5995968,1162.03122432,48.309580800000006,153.290016,12,20,5,2014,993750.0,buy
6331,5452800735,2014-07-22,780000.0,4,2.5,2270,13449,1.0,0,0,4,9,1310,960,1975,0,98040,47.5416,-122.232,2810,13475,210.88990080000002,1249.45298496,89.18691840000001,121.70298240000001,22,30,7,2014,993750.0,buy
6333,5452800495,2015-04-22,899100.0,5,2.5,2410,15300,1.0,0,0,4,8,1400,1010,1975,0,98040,47.5416,-122.231,2440,15300,223.89632640000002,1421.416512,93.8320704,130.064256,22,17,4,2015,993750.0,buy
6334,8651600110,2015-04-21,939000.0,4,2.25,2240,9684,2.0,0,0,4,9,2240,0,1970,0,98040,47.5489,-122.225,2440,9618,208.1028096,899.6730393600001,0.0,208.1028096,21,17,4,2015,993750.0,buy
6337,5452800645,2014-09-22,865000.0,4,2.5,2260,13600,1.0,0,0,4,8,1770,490,1974,0,98040,47.5436,-122.233,2630,13995,209.9608704,1263.481344,45.5224896,164.4383808,22,39,9,2014,993750.0,buy
6341,5450300010,2014-09-02,572000.0,3,1.5,1680,13751,1.0,0,0,4,7,1680,0,1951,0,98040,47.5716,-122.227,1760,13500,156.0771072,1277.50970304,0.0,156.0771072,2,36,9,2014,993750.0,buy
6342,5021900050,2014-08-18,832500.0,3,2.0,1870,9527,1.0,0,0,4,7,1870,0,1951,1997,98040,47.5777,-122.224,1970,11904,173.72868480000002,885.0872620800001,0.0,173.72868480000002,18,34,8,2014,993750.0,buy
6344,5454000010,2014-12-10,740000.0,3,1.75,2020,9478,1.0,0,0,4,9,2020,0,1961,0,98040,47.5383,-122.238,3050,15594,187.6641408,880.53501312,0.0,187.6641408,10,50,12,2014,993750.0,buy
6346,5452302195,2014-12-30,685000.0,3,2.5,1460,8800,1.0,0,0,4,7,1460,0,1956,0,98040,47.5895,-122.232,2200,8800,135.6384384,817.5467520000001,0.0,135.6384384,30,1,12,2014,993750.0,buy
6349,7785000010,2014-12-04,750000.0,5,2.25,2020,8400,1.0,0,0,4,7,1010,1010,1963,0,98040,47.5763,-122.219,1890,9233,187.6641408,780.385536,93.8320704,93.8320704,4,49,12,2014,993750.0,buy
6350,3622910190,2014-05-21,895000.0,5,3.0,2876,13927,1.0,0,2,4,9,1970,906,1973,0,98040,47.5528,-122.229,3500,14454,267.18914304000003,1293.8606380800002,84.17015424,183.01898880000002,21,21,5,2014,993750.0,buy
6355,5021900779,2015-04-04,785000.0,3,2.0,1600,9638,1.0,0,0,5,7,1600,0,1952,0,98040,47.5753,-122.224,1800,11400,148.644864,895.3994995200001,0.0,148.644864,4,14,4,2015,993750.0,buy
6357,1483300430,2014-11-25,554000.0,2,1.0,820,3700,1.0,0,0,5,7,820,0,1968,0,98040,47.588,-122.251,1750,9000,76.18049280000001,343.74124800000004,0.0,76.18049280000001,25,48,11,2014,993750.0,buy
6359,5450500010,2015-03-13,975000.0,4,2.25,2240,9990,2.0,0,0,4,10,2240,0,1967,0,98040,47.5516,-122.217,2600,11480,208.1028096,928.1013696000001,0.0,208.1028096,13,11,3,2015,993750.0,buy
6368,2287000010,2014-07-10,713400.0,3,2.25,1810,9845,1.0,0,0,4,8,1810,0,1959,1991,98040,47.5505,-122.221,1900,10083,168.1545024,914.6304288,0.0,168.1545024,10,28,7,2014,993750.0,buy
6370,3625700080,2015-01-08,987500.0,4,2.25,3270,15760,1.0,0,0,4,10,2000,1270,1974,0,98040,47.5295,-122.229,4100,15760,303.7929408,1464.1519104000001,117.9868608,185.80608,8,2,1,2015,993750.0,buy
6376,4099501215,2014-06-03,713250.0,3,2.0,2050,9000,1.0,0,0,4,7,2050,0,1951,0,98040,47.5885,-122.245,2910,8856,190.451232,836.1273600000001,0.0,190.451232,3,23,6,2014,993750.0,buy
6378,2757000040,2014-06-05,795000.0,4,2.25,2070,13084,1.0,0,0,4,8,1700,370,1967,0,98040,47.5606,-122.222,2520,10180,192.3092928,1215.54337536,34.374124800000004,157.935168,5,23,6,2014,993750.0,buy
6382,1300300730,2015-03-24,698000.0,3,1.5,1090,7200,1.0,0,0,4,7,1090,0,1958,0,98040,47.5817,-122.241,2010,8982,101.26431360000001,668.9018880000001,0.0,101.26431360000001,24,13,3,2015,993750.0,buy
6384,5021900175,2014-06-16,500000.0,3,1.75,1540,10800,1.0,0,0,5,6,770,770,1947,0,98040,47.5763,-122.222,2020,10800,143.0706816,1003.352832,71.5353408,71.5353408,16,25,6,2014,993750.0,buy
6385,4351300978,2014-08-26,787888.0,4,2.25,2580,21115,2.0,0,0,4,9,2580,0,1977,0,98040,47.5566,-122.219,2690,10165,239.6898432,1961.6476896000001,0.0,239.6898432,26,35,8,2014,993750.0,buy
6388,1824059079,2015-03-11,880000.0,4,2.0,2530,10800,1.0,0,0,5,8,1350,1180,1954,0,98040,47.5705,-122.225,2960,12150,235.04469120000002,1003.352832,109.62558720000001,125.419104,11,11,3,2015,993750.0,buy
6393,2174503441,2014-07-03,650000.0,3,1.5,1380,4500,1.0,0,0,5,7,1380,0,1960,0,98040,47.5866,-122.25,1590,9000,128.2061952,418.06368000000003,0.0,128.2061952,3,27,7,2014,993750.0,buy
6399,3307700150,2015-04-13,950000.0,3,1.0,1720,9830,1.0,0,0,4,7,1720,0,1946,0,98040,47.5905,-122.245,3200,8923,159.7932288,913.2368832000001,0.0,159.7932288,13,16,4,2015,993750.0,buy
6401,2581900060,2015-04-02,690000.0,3,1.5,1710,17707,1.0,0,0,4,7,1180,530,1947,0,98040,47.5393,-122.216,2590,9508,158.86419840000002,1645.0341292800001,49.2386112,109.62558720000001,2,14,4,2015,993750.0,buy
6402,2581300055,2014-11-21,885000.0,3,3.25,2640,16090,1.0,0,2,4,8,1960,680,1976,0,98040,47.5374,-122.213,3690,15000,245.26402560000002,1494.8099136,63.1740672,182.0899584,21,47,11,2014,993750.0,buy
6403,5451200520,2014-06-12,850000.0,4,2.25,2130,11843,2.0,0,0,4,9,2130,0,1972,0,98040,47.5358,-122.225,2380,11643,197.88347520000002,1100.2507027200002,0.0,197.88347520000002,12,24,6,2014,993750.0,buy
6405,9350900550,2015-04-29,890000.0,4,2.25,2870,8393,1.0,0,0,4,8,1480,1390,1977,0,98040,47.5787,-122.245,2930,9850,266.63172480000003,779.73521472,129.1352256,137.49649920000002,29,18,4,2015,993750.0,buy
6409,321100260,2014-06-30,896000.0,5,2.75,2520,16100,1.0,0,3,4,8,1570,950,1960,0,98040,47.528,-122.224,2760,16988,234.11566080000003,1495.7389440000002,88.25788800000001,145.85777280000002,30,27,6,2014,993750.0,buy
6410,7785000260,2014-07-09,624800.0,3,2.0,2250,14274,1.0,0,0,4,8,1500,750,1964,0,98040,47.5762,-122.217,2820,13813,209.03184000000002,1326.09799296,69.67728000000001,139.35456000000002,9,28,7,2014,993750.0,buy
6411,5453700140,2014-12-08,800000.0,3,1.75,1890,10292,1.0,0,0,4,8,1890,0,1969,0,98040,47.535,-122.234,2630,10625,175.5867456,956.1580876800001,0.0,175.5867456,8,50,12,2014,993750.0,buy
6416,8732300060,2014-05-12,850000.0,4,1.75,2350,11914,1.0,0,0,4,8,2350,0,1961,0,98040,47.5392,-122.228,2240,10706,218.322144,1106.84681856,0.0,218.322144,12,20,5,2014,993750.0,buy
6417,1923000370,2014-05-12,947500.0,4,2.25,3290,12329,1.5,0,0,4,10,3290,0,1968,0,98040,47.5639,-122.216,3170,12329,305.65100160000003,1145.40158016,0.0,305.65100160000003,12,20,5,2014,993750.0,buy
6419,2581900036,2014-06-12,743000.0,3,1.75,2110,11250,1.0,0,0,4,8,2110,0,1961,0,98040,47.5402,-122.216,2560,10992,196.02541440000002,1045.1592,0.0,196.02541440000002,12,24,6,2014,993750.0,buy
6424,2162000260,2014-08-27,699000.0,3,2.5,2740,18455,2.0,0,1,4,10,1510,1230,1977,0,98040,47.5585,-122.215,2840,16438,254.55432960000002,1714.5256032000002,114.27073920000001,140.2835904,27,35,8,2014,993750.0,buy
6425,3024059036,2014-05-30,950000.0,4,1.75,2500,92347,1.0,0,0,4,8,1500,1000,1970,0,98040,47.5345,-122.216,3750,20267,232.25760000000002,8579.317034880001,92.90304,139.35456000000002,30,22,5,2014,993750.0,buy
6428,5459000240,2014-06-04,785000.0,3,1.75,1670,9600,1.0,0,0,5,8,1670,0,1961,0,98040,47.5754,-122.233,1900,9600,155.1480768,891.869184,0.0,155.1480768,4,23,6,2014,993750.0,buy
6429,5315101716,2015-02-25,780000.0,3,1.75,1690,13500,1.0,0,0,4,7,1690,0,1978,0,98040,47.5897,-122.233,1950,10500,157.00613760000002,1254.1910400000002,0.0,157.00613760000002,25,9,2,2015,993750.0,buy
